run_id,seed,t,I,P,R,kappa,EH,bound
B-1.5,42,160,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,170,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,180,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,190,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,200,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,210,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,220,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,230,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,240,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,250,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,123,0,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,10,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,20,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,30,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,40,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,50,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,60,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,70,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,80,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,90,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,100,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,110,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,120,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,130,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,140,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,150,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,160,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,170,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,180,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,190,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,200,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,210,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,220,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,230,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,240,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,123,250,2083.0,0.00048828125,1.01708984375,0.0,True,1477.3197218702985
B-1.5,456,0,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,10,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,20,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,30,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,40,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,50,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,60,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,70,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,80,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,90,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,100,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,110,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,120,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,130,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,140,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,150,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,160,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,170,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,180,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,190,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,200,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
B-1.5,456,210,2095.0,0.00048828125,1.02294921875,0.0,True,1477.3197218702985
